Order ID,Customer ID,Product ID,Date ID,Ship ID,Sales,Quantity,Discount,Profit
CA-2016-000001,CG-12520,FUR-BO-10001798,20161108,20161111,261.96,2,0,41.9136
CA-2016-000002,CG-12520,FUR-CH-10000454,20161108,20161111,731.94,3,0,219.582
US-2015-000004,SO-20335,FUR-TA-10000577,20151011,20151018,957.5775,5,0.45,-383.031
CA-2014-000006,BH-11710,FUR-FU-10001487,20140609,20140614,48.86,7,0,14.1694
CA-2014-000011,BH-11710,FUR-TA-10001539,20140609,20140614,1706.184,9,0.2,85.3092
US-2014-002750,CS-11950,FUR-CH-10002758,20140608,20140614,585.552,3,0.2,73.194
US-2017-000024,SF-20065,FUR-CH-10002774,20170716,20170718,71.372,2,0.3,-1.0196
CA-2015-000025,EB-13870,FUR-TA-10000577,20150925,20150930,1044.63,3,0,240.2649
CA-2015-001628,MC-17275,FUR-CH-10001270,20150924,20150930,517.5,6,0,155.25
CA-2014-001812,FO-14305,FUR-TA-10004534,20140609,20140611,1441.3,7,0,245.021
CA-2014-002142,GT-14635,FUR-TA-10003238,20140606,20140611,991.764,3,0.4,-347.1174
US-2015-000028,TB-21520,FUR-BO-10004834,20150917,20150921,3083.43,7,0.5,-1665.0522
US-2015-000030,TB-21520,FUR-FU-10004848,20150917,20150921,124.2,3,0.2,15.525
CA-2015-001675,SF-20965,FUR-FU-10003535,20150917,20150921,21.936,2,0.6,-10.4196
US-2015-003016,LS-16975,FUR-TA-10004154,20150917,20150921,344.22,2,0.4,-103.266
CA-2015-003852,DH-13675,FUR-FU-10004006,20150921,20150921,85.3,2,0,14.501
CA-2016-000037,GH-14485,FUR-FU-10003664,20161208,20161210,190.92,5,0.6,-147.963
US-2016-003940,MH-17455,FUR-CH-10003379,20161210,20161210,1424.9,5,0,356.225
CA-2015-000039,SN-20710,FUR-BO-10002545,20151227,20151231,532.3992,3,0.32,-46.9764
CA-2015-000040,SN-20710,FUR-CH-10004218,20151227,20151231,212.058,3,0.3,-15.147
CA-2015-000052,DP-13000,FUR-FU-10001706,20150418,20150422,6.16,2,0,2.9568
CA-2015-000053,DP-13000,FUR-CH-10003061,20150418,20150422,89.99,1,0,17.0981
CA-2016-000058,TB-21055,FUR-CH-10003968,20160617,20160618,319.41,5,0.1,7.098
CA-2015-000066,KM-16720,FUR-FU-10000397,20151124,20151130,79.76,4,0,22.3328
CA-2015-004271,SH-20635,FUR-FU-10003930,20151126,20151130,692.472,11,0.2,190.4298
US-2015-000067,PS-18970,FUR-CH-10001146,20150430,20150505,213.115,5,0.3,-15.2225
CA-2015-003403,LA-16780,FUR-FU-10001940,20150504,20150505,22.288,7,0.6,-8.9152
CA-2015-003992,DB-13120,FUR-FU-10001095,20150501,20150505,63.552,3,0.2,14.2992
US-2015-000073,JE-15745,FUR-CH-10000513,20150426,20150502,831.936,8,0.2,-114.3912
US-2015-000074,JE-15745,FUR-FU-10003708,20150426,20150502,97.04,2,0.2,1.213
CA-2016-003481,SP-20620,FUR-TA-10003954,20161208,20161214,1421.664,6,0.2,-195.4788
US-2016-003258,DK-12835,FUR-TA-10001676,20161209,20161214,79.974,3,0.4,-29.3238
US-2017-000077,KB-16600,FUR-FU-10000260,20171209,20171211,9.708,3,0.6,-5.8248
CA-2017-003179,SM-20950,FUR-FU-10001487,20171205,20171211,20.94,3,0,6.0726
CA-2017-003180,SM-20950,FUR-FU-10000521,20171205,20171211,58.68,2,0,18.1908
US-2017-004319,DC-13285,FUR-FU-10000175,20171207,20171211,82.38,6,0,25.5378
CA-2017-004359,RR-19315,FUR-FU-10004306,20171211,20171211,77.72,1,0.6,-66.062
CA-2017-004360,RR-19315,FUR-CH-10003973,20171211,20171211,520.464,2,0.3,-14.8704
US-2014-000079,JE-15745,FUR-FU-10003194,20141126,20141201,19.3,5,0.6,-14.475
CA-2017-000086,PO-18865,FUR-CH-10000863,20170528,20170530,301.96,2,0,33.2156
CA-2015-000094,KB-16315,FUR-FU-10003799,20150131,20150205,53.34,3,0,16.5354
CA-2015-000808,AA-10375,FUR-FU-10003347,20150203,20150205,28.4,2,0,11.076
CA-2017-000097,PN-18775,FUR-FU-10000629,20171109,20171111,96.53,7,0,40.5426
CA-2017-002122,JB-15400,FUR-CH-10003061,20171109,20171111,215.976,3,0.2,-2.6997
CA-2017-001230,ZC-21910,FUR-FU-10001424,20171106,20171111,8.73,1,0,2.9682
CA-2017-003675,ML-17410,FUR-CH-10003774,20171106,20171111,127.372,2,0.3,-30.9332
US-2017-001368,AB-10600,FUR-CH-10003312,20171110,20171111,899.136,4,0.2,-146.1096
US-2015-000105,LC-16870,FUR-FU-10004006,20151113,20151117,102.36,3,0.2,-3.8385
CA-2017-000111,CV-12805,FUR-FU-10001934,20171225,20171230,41.96,2,0,10.9096
US-2017-002426,SV-20935,FUR-TA-10002645,20171225,20171230,273.06,2,0.4,-104.673
CA-2015-000118,DK-13090,FUR-TA-10001768,20150302,20150306,787.53,3,0,165.3813
CA-2016-000120,SC-20725,FUR-FU-10002157,20160612,20160615,47.04,3,0,18.3456
CA-2016-000558,OT-18730,FUR-TA-10004256,20160610,20160615,1335.68,4,0.2,-217.048
US-2014-000125,AD-10180,FUR-CH-10004063,20141226,20141228,600.558,3,0.3,-8.5794
CA-2014-000294,KL-16555,FUR-FU-10004091,20141226,20141228,300.416,8,0.2,78.8592
CA-2014-000295,KL-16555,FUR-CH-10001891,20141226,20141228,230.352,3,0.2,20.1558
CA-2014-000296,KL-16555,FUR-FU-10002918,20141226,20141228,218.352,3,0.2,-24.5646
US-2015-002899,PW-19240,FUR-CH-10004086,20150426,20150430,408.422,2,0.3,-5.8346
US-2014-000126,PF-19165,FUR-TA-10004534,20140920,20140925,617.7,6,0.5,-407.682
US-2016-000129,LS-16975,FUR-CH-10001146,20161106,20161110,81.424,2,0.2,-9.1602
US-2016-000130,LS-16975,FUR-FU-10003773,20161106,20161110,238.56,3,0,26.2416
CA-2017-001469,DK-12835,FUR-CH-10000847,20171209,20171213,872.94,3,0,226.9644
CA-2017-004292,AT-10435,FUR-TA-10003748,20171209,20171213,896.328,9,0.2,22.4082
CA-2016-000140,LC-16885,FUR-FU-10001706,20161013,20161019,43.12,14,0,20.6976
CA-2016-002166,HA-14920,FUR-FU-10003394,20161013,20161019,139.92,5,0.6,-150.414
CA-2016-000141,JD-15895,FUR-FU-10004848,20160905,20160907,82.8,2,0.2,10.35
CA-2016-000441,PK-19075,FUR-FU-10000246,20160905,20160907,12.22,1,0,3.666
CA-2016-000445,PK-19075,FUR-CH-10002372,20160905,20160907,242.94,3,0,29.1528
CA-2014-000147,MG-17680,FUR-FU-10000521,20141022,20141028,93.888,4,0.2,12.9096
CA-2016-000150,JE-16165,FUR-CH-10000454,20161205,20161209,1951.84,8,0,585.552
CA-2014-000158,DB-13060,FUR-CH-10004063,20140301,20140306,457.568,2,0.2,51.4764
CA-2014-000168,BM-11140,FUR-CH-10004287,20140908,20140912,1740.06,9,0.3,-24.858
CA-2014-002646,TB-21400,FUR-FU-10004270,20140907,20140912,57.69,3,0,23.6529
CA-2014-002649,TB-21400,FUR-FU-10004665,20140907,20140912,821.88,6,0,213.6888
CA-2014-002672,RR-19525,FUR-CH-10003761,20140909,20140912,785.88,6,0,212.1876
CA-2014-000174,CS-12130,FUR-CH-10003817,20140805,20140809,340.144,7,0.2,21.259
CA-2015-002738,KL-16645,FUR-BO-10004467,20151113,20151119,299.97,3,0,56.9943
CA-2015-003810,AH-10690,FUR-CH-10003298,20151112,20151119,523.92,5,0.2,-72.039
CA-2015-003812,AH-10690,FUR-CH-10004477,20151112,20151119,146.136,3,0.2,16.4403
US-2015-003832,LS-17230,FUR-FU-10004017,20151114,20151119,76.14,3,0,26.649
US-2015-000178,JE-15745,FUR-CH-10004698,20151121,20151123,396.802,7,0.3,-11.3372
