Row ID,Order ID,Order_Date_Key,Ship_Date_Key,Customer_Key,Product_Key,Ship_Mode_Key,Location_Key,Sales,Quantity,Discount,Profit
1,CA-2016-152156,20161108,20161111,1,1,1,1,261.96,2,0.0,41.9136
2,CA-2016-152156,20161108,20161111,1,2,1,1,731.94,3,0.0,219.582
4,US-2015-108966,20151011,20151018,2,3,2,2,957.5775,5,0.45,-383.031
6,CA-2014-115812,20140609,20140614,3,4,2,3,48.86,7,0.0,14.1694
11,CA-2014-115812,20140609,20140614,3,5,2,3,1706.184,9,0.2,85.3092
24,US-2017-156909,20170716,20170718,4,6,1,4,71.372,2,0.3,-1.0196
25,CA-2015-106320,20150925,20150930,5,3,2,5,1044.63,3,0.0,240.2649
28,US-2015-150630,20150917,20150921,6,7,2,4,3083.43,7,0.5,-1665.0522
30,US-2015-150630,20150917,20150921,6,8,2,4,124.2,3,0.2,15.525
37,CA-2016-117590,20161208,20161210,7,9,3,6,190.92,5,0.6,-147.963
39,CA-2015-117415,20151227,20151231,8,10,2,7,532.3992,3,0.32,-46.9764
40,CA-2015-117415,20151227,20151231,8,11,2,7,212.058,3,0.3,-15.147
52,CA-2015-115742,20150418,20150422,9,12,2,8,6.16,2,0.0,2.9568
53,CA-2015-115742,20150418,20150422,9,13,2,8,89.99,1,0.0,17.0981
58,CA-2016-111682,20160617,20160618,10,14,3,9,319.41,5,0.1,7.098
66,CA-2015-135545,20151124,20151130,11,15,2,10,79.76,4,0.0,22.3328
67,US-2015-164175,20150430,20150505,12,16,2,11,213.115,5,0.3,-15.2225
73,US-2015-134026,20150426,20150502,13,17,2,12,831.936,8,0.2,-114.3912
74,US-2015-134026,20150426,20150502,13,18,2,12,97.04,2,0.2,1.213
77,US-2017-118038,20171209,20171211,14,19,3,7,9.708,3,0.6,-5.8248
79,US-2014-147606,20141126,20141201,13,20,1,13,19.3,5,0.6,-14.475
86,CA-2017-140088,20170528,20170530,15,21,1,14,301.96,2,0.0,33.2156
94,CA-2015-149587,20150131,20150205,16,22,1,15,53.34,3,0.0,16.5354
97,CA-2017-161018,20171109,20171111,17,23,1,16,96.53,7,0.0,40.5426
105,US-2015-156867,20151113,20151117,18,24,2,17,102.36,3,0.2,-3.8385
111,CA-2017-146780,20171225,20171230,19,25,2,18,41.96,2,0.0,10.9096
118,CA-2015-110457,20150302,20150306,20,26,2,19,787.53,3,0.0,165.3813
120,CA-2016-103730,20160612,20160615,21,27,3,20,47.04,3,0.0,18.3456
125,US-2014-152030,20141226,20141228,22,28,1,7,600.558,3,0.3,-8.5794
126,US-2014-134614,20140920,20140925,23,29,2,21,617.7,6,0.5,-407.682
129,US-2016-125969,20161106,20161110,24,16,1,10,81.424,2,0.2,-9.1602
130,US-2016-125969,20161106,20161110,24,30,1,10,238.56,3,0.0,26.2416
140,CA-2016-145583,20161013,20161019,25,12,2,22,43.12,14,0.0,20.6976
141,CA-2016-110366,20160905,20160907,26,8,1,4,82.8,2,0.2,10.35
147,CA-2014-110072,20141022,20141028,27,31,2,23,93.888,4,0.2,12.9096
150,CA-2016-114489,20161205,20161209,28,2,2,24,1951.84,8,0.0,585.552
158,CA-2014-104269,20140301,20140306,29,28,1,25,457.568,2,0.2,51.4764
168,CA-2014-139892,20140908,20140912,30,32,2,26,1740.06,9,0.3,-24.858
174,CA-2014-118962,20140805,20140809,31,33,2,10,340.144,7,0.2,21.259
178,US-2015-101511,20151121,20151123,13,34,1,23,396.802,7,0.3,-11.3372
190,CA-2015-102281,20151012,20151014,32,35,3,18,899.136,4,0.2,112.392
193,CA-2015-102281,20151012,20151014,32,10,3,18,626.352,3,0.2,46.9764
202,CA-2014-133690,20140803,20140805,33,36,3,27,218.75,2,0.5,-161.875
205,CA-2017-126382,20170603,20170607,34,37,2,28,35.168,7,0.2,9.6712
214,CA-2015-146262,20150102,20150109,35,38,2,29,452.45,5,0.5,-244.323
223,CA-2015-169397,20151224,20151227,36,39,3,30,72.704,4,0.2,19.0848
227,CA-2015-163055,20150809,20150816,37,40,2,31,622.45,5,0.0,136.939
229,US-2015-145436,20150228,20150304,38,41,2,32,161.568,2,0.92,-28.2744
230,US-2015-145436,20150228,20150304,38,42,2,32,389.696,8,0.2,43.8408
232,US-2017-100930,20170407,20170412,39,43,2,33,233.86,2,0.45,-102.048
233,US-2017-100930,20170407,20170412,39,44,2,33,620.6145,3,0.45,-248.2458
235,US-2017-100930,20170407,20170412,39,45,2,33,258.072,3,0.2,0.0
239,CA-2016-157749,20160604,20160609,40,46,1,11,419.68,5,0.6,-356.728
240,CA-2016-157749,20160604,20160609,40,47,1,11,11.688,3,0.6,-4.6752
242,CA-2016-157749,20160604,20160609,40,48,1,11,177.225,5,0.5,-120.513
243,CA-2016-157749,20160604,20160609,40,49,1,11,4.044,3,0.6,-2.8308
245,CA-2014-131926,20140601,20140606,41,28,1,34,2001.86,7,0.0,580.5394
250,CA-2016-154739,20161210,20161215,42,50,1,35,321.568,2,0.2,28.1372
255,US-2015-159982,20151128,20151204,43,49,2,36,12.132,9,0.6,-8.4924
273,CA-2015-155334,20150730,20150731,44,51,3,35,5.28,3,0.0,2.3232
283,CA-2015-130890,20151102,20151106,45,52,2,10,1038.84,5,0.2,51.942
293,CA-2016-110772,20161120,20161124,46,53,1,37,86.97,3,0.5,-48.7032
294,CA-2014-111451,20141226,20141228,47,54,3,38,300.416,8,0.2,78.8592
295,CA-2014-111451,20141226,20141228,47,55,3,38,230.352,3,0.2,20.1558
296,CA-2014-111451,20141226,20141228,47,56,3,38,218.352,3,0.2,-24.5646
302,CA-2016-142545,20161028,20161103,26,57,2,39,77.6,4,0.0,38.024
304,US-2017-152380,20171119,20171123,48,58,2,36,219.075,3,0.5,-131.445
305,CA-2015-144253,20150504,20150509,49,59,1,40,26.8,2,0.0,12.864
310,CA-2016-142902,20160912,20160914,50,60,1,41,15.136,4,0.2,3.5948
311,CA-2016-142902,20160912,20160914,50,61,1,41,466.768,2,0.2,52.5114
312,CA-2016-142902,20160912,20160914,50,62,1,41,15.232,1,0.2,1.7136
314,CA-2014-120887,20140927,20141003,51,63,2,42,87.54,3,0.0,37.6422
